ccaa,fuente,url,metodo,terminos,resultados,accesible,observaciones
Asturias,Google News RSS (prensa),https://news.google.com/rss/search?q=%22centro+de+datos%22+Asturias&hl=es&gl=ES&ceid=ES:es,curl sobre news.google.com/rss/search; los enlaces de Google News no resuelven a la URL del editor sin JavaScript,"""centro de datos"" Asturias; ""Digital Valley Asturias""; ""centro de datos"" Salas; ""pozo San Jorge""; ""centro de datos"" Gijon / Aviles / Langreo-Lada-Mieres / Abono-Soto de Ribera / Siero-Llanera-Oviedo; ""centros de datos"" Asturias Principado; ""Nonaya Este""; Aprisco",43 / 16 / 52 / 10 / 17 / 19 / 16 / 3 / 55 / 10 / 30 / 17,1,"Identifica tres proyectos: Digital Valley (Salas), pozo San Jorge (Aller) y Aprisco Group (sin emplazamiento). No aparece ningun proyecto en Gijon, Aviles, Langreo, Abono ni Soto de Ribera"
Asturias,"IDEPA / Agencia Sekuens, portal de transparencia: informacion publica de Proyectos de Interes Estrategico (PIER)",https://www.idepa.es/agencia_sekuens/portal-de-transparencia/informacion-publica-proyectos-pier,WebFetch,Digital Valley; Sales For You; Salas; centro de datos,"2 PIER listados (Salave, Costco); Digital Valley no aparece",1,Canal oficial donde debera aparecer la informacion publica del PIER de Salas; vigilar
Asturias,Plataforma de Contratacion del Sector Publico / perfil del contratante de Sekuens y Gitpa,https://contrataciondelestado.es,No consultada (formularios JSF),pozo San Jorge; centro de datos,,0,Pendiente para localizar la licitacion de las obras del CPD del Principado (3 M EUR FTJ)
Asturias,Portal de energia del Principado: tablon de instalaciones de alta tension (asturias.es > Industria y energia > Instalaciones de Alta Tension),https://www.asturias.es,"No localizada URL estable desde la sede; cobertura sustitutiva por BOPA, donde se publican todas las informaciones publicas y autorizaciones de AAP/AAC (Ley 24/2013, RD 1955/2000)",centro de datos; CPD; subestacion,,0,"Verificado con el anuncio AUTO/2023/3891 (AT-12441), que remite al tablon; ningun anuncio de alta tension 2019-2026 en BOPA menciona un centro de datos"
Asturias,"Prensa: datacenterdynamics.com, nortes.me, eldiario.es, asturiasmundial.com, conectaindustria.es, merca2.es",https://www.datacenterdynamics.com/es/noticias/el-proyecto-de-digital-valley-asturias-para-un-centro-de-datos-en-salas/,"curl con User-Agent de navegador (DCD y Nortes bloquean WebFetch con 403); LNE, La Voz de Asturias y buscadores internos de DCD no accesibles",Digital Valley; Salas; Aprisco,3 articulos completos guardados como prensa_* en datos/crudos/boletines/AS,1,Cifras coincidentes con la nota oficial
Asturias,WebSearch con filtro site:sede.asturias.es,https://sede.asturias.es,WebSearch,"""centro de datos""; ""centro de proceso de datos"" OR ""centro de procesamiento de datos"" OR ""data center""","8 + 8, ninguno relevante (contratos del CPD del Principado, portal de contratacion)",1,El cupo de WebSearch de la sesion (200) se agoto tras 10 consultas; el resto del barrido se hizo con curl
Asturias,WebSearch general (prensa y portales),,WebSearch,Salas 1.226 millones 120 MW; Digital Valley Consejo de Gobierno; Ingenostrum/Abono/Zalia/Hunosa/pozo San Jorge; Aviles/Gijon/Llanera/Mieres; PIER Ley 7/2024; Telecable/Adamo/Nunsys,8 consultas efectivas; cupo agotado despues,1,"Aportaron la identificacion del promotor (S4U), la Ley 7/2024 y el portal PIER de IDEPA"
Asturias,"WebSearch site:boe.es Asturias ""centro de datos"" subestacion OR linea kV",https://www.boe.es,WebSearch,"Asturias ""centro de datos"" subestacion linea kV","6, ninguno relevante",1,"Devuelve subestaciones de 400 kV de Pesoz y El Palo (2005, 2008) y la linea Pesoz-Salas, sin centro de datos"
Asturias,actualidad.asturias.es (notas de prensa del Gobierno del Principado),https://actualidad.asturias.es,WebFetch y curl; copias guardadas,Digital Valley; pozo San Jorge; centro de datos,2 notas utilizadas (03-08-2026 y 26-03-2025),1,Fuente OFICIAL-NP; la nota de 03-08-2026 no cita numero de expediente ni acuerdo formal del Consejo de Gobierno
Asturias,"medioambiente.asturias.es, participacion ciudadana: consultas e informacion publica de tramites ambientales (EIA y EAE de planes)",https://medioambiente.asturias.es/participacion-ciudadana,"GET y POST con curl (campoBusqueda, idTipoPeriodo 0 y 1)",Nonaya; listado de EAE de planes y programas (13 abiertos),0 para Nonaya; ninguno de los 13 planes abiertos es un centro de datos,1,El borrador y documento ambiental de la modificacion de Nonaya Este ya no estan publicados (consultas cerradas a finales de julio de 2026)
CB,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,11 documentos; 1 utilizables; 1 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
CL,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,22 documentos; 8 utilizables; 3 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
CL,BOCYL (buscador por titulo),https://bocyl.jcyl.es/busquedaTitulo,POST hiddenAccion/esPortada/titulo,centro de datos; centros de datos; centro de proceso de datos; data center,4 documentos; 0 filas,1,"Busqueda por titulo, no a texto completo del documento."
CL,BOCYL (buscador),https://bocyl.jcyl.es/busquedaTitulo,POST hiddenAccion/esPortada/titulo,centro de datos; centros de datos; centro de proceso de datos; data center,4 documentos; 0 filas,1,"Busca en el titulo del anuncio, no en su texto."
CL,BOCYL (buscador),https://bocyl.jcyl.es/busquedaTitulo,POST hiddenAccion/esPortada/titulo,centro de datos; centros de datos; centro de proceso de datos; centro de procesamiento de datos; centros de procesamiento de datos; data center,4 documentos; 2 filas,1,"Busca en el titulo del anuncio, no en su texto."
CM,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,437 documentos; 47 utilizables; 0 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
CT,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,18 documentos; 2 utilizables; 2 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
CT,Portal autonomico de evaluacion ambiental (via 6),https://dtes.gencat.cat/portalAA/AppJava/consultaProjectesInformacio.do,"formulario POST, nomExpedient",centre de dades; centre de processament de dades; centre de proces de dades; centro de datos; data center; CPD,0 expedientes; 0 nombran un centro de datos,1,"El portal describe la actividad, no el uso: un centro de datos se tramita como edificio industrial y su nombre de expediente no dice «dades». Buscado y vacio es un dato del censo"
Cantabria,Boletin Oficial de Cantabria (BOC) - buscador de anuncios,https://boc.cantabria.es/boces/inicioBusquedaAnuncios.do,"POST a busquedaAnuncios.do reproducido con curl (campos anuncioBean.entrad, anuncioBean.tipoTexto=1 cuerpo, anuncioBean.tipoBusqueda=textoExacto/todasPalabras, fecDesde 01/01/2019, fecHasta 02/09/2026); resultados con idAnuBlob y descarga del PDF via verAnuncioAction.do?idAnuBlob=",centro de datos; centros de datos; centro de proceso de datos; centro de procesamiento de datos; data center; CPD; subestacion remota; Altamira; Campus Altamira; Proyecto Altamira; XDC; XDC North Coast; Tavra 424; Stoneshield; Proyecto Empresarial Estrategico; Iberia Data Center; CIGSA; Santander Global Services; SFV-263-2022; Centro Tecnologico de Cantabria; VIPAR; Pielagos-Villaescusa; Villaescusa Singular Regional (todas las palabras); Corceno; 54517/2022; Telxius; Telxius Cable; Anjana; cable submarino; Google (2025-26); Parque Cientifico y Tecnologico de Cantabria (2025-26),"centro de datos 4 (1 relevante: BOC-2025-6137); centros de datos 24 (0); centro de proceso de datos 18 (1: BOC-2023-419); centro de procesamiento de datos 2 (0); data center 6 (0); CPD 31 (0); subestacion remota 0; Altamira 232 (1 relevante); Campus Altamira 0; Proyecto Altamira 2 (1); XDC 0; XDC North Coast 0; Tavra 424 0; Stoneshield 0; Proyecto Empresarial Estrategico 3 (Ley 2/2025, Altamira, Besaya Green); Iberia Data Center 0; CIGSA 0; Santander Global Services 2 (ambos relevantes); Centro Tecnologico de Cantabria 2; VIPAR 7 (1: BOC-2023-641); Pielagos-Villaescusa 6 (0 de CPD); Villaescusa Singular Regional 39 (0 de CPD); Corceno 12 (1); 54517/2022 0; Telxius 9 (1); Anjana 203 (ruido, nombre propio); cable submarino 0; Google 10 (0); PCTCAN 32 (1 de contexto: PSIR ampliacion, BOC-2025-9762)",1,"El buscador acepta texto exacto sobre el cuerpo del anuncio y devuelve titulo, organo y CVE. 'Tavira 424' (grafia correcta segun el BOC) no se busco como tal, pero el acuerdo se localizo por 'centro de datos' y 'Altamira'. Documentos guardados en datos/crudos/boletines/CB/"
Cantabria,"Boletin Oficial del Estado - buscador boe.php (secciones III y V, 2019-2026)",https://www.boe.es/buscar/boe.php,GET reproducido con curl sobre el campo TITULOS con filtro de fecha FPU 2019-01-01 a 2026-09-02 y 200 resultados por pagina; titulos completos de los anuncios del Gobierno de Cantabria obtenidos de diario_boe/txt.php,Cantabria (seccion V); centro de datos (2019-2024 y 2025-2026); centros de datos; proceso de datos; Cantabria datos; Cantabria kV; Penagos; Pielagos; Villaescusa; Medio Cudeyo,"Cantabria seccion V: >200 (tope; solo 6 meses); centro de datos: 180 (2019-2024) + 200 (2025-2026, tope), ninguno en Cantabria; centros de datos 91 (0 Cantabria); proceso de datos 172 (0 Cantabria); Cantabria datos 9 (convenios, 0); Cantabria kV 79 (50 anuncios de la DG de Industria de Cantabria y de la Delegacion del Gobierno revisados por titulo: lineas de distribucion de Viesgo 12/20 y 55 kV, ampliaciones de SE Aguayo y Solorzano 400 kV, Aguayo II reversible; ninguno de centro de datos); Penagos 6 (0); Villaescusa 21 (0); Medio Cudeyo 16 (0)",1,El buscador solo indexa titulos; una acometida a 400 kV para un CPD apareceria como anuncio del Area de Industria y Energia de la Delegacion del Gobierno en Cantabria y no existe en 2019-2026
Cantabria,Data Center Map (directorio privado),https://www.datacentermap.com/spain/santander/,No se intento la descarga (instruccion); solo fragmentos de WebSearch,site:datacentermap.com/spain/santander,"Fragmentos: 'Santander Data Centers - 12 Facilities'; fichas 'Proyecto Altamira 1' (240 MW), 'Proyecto Altamira DC3', 'DC4' y 'DC7' (40 MW cada una) de XDC Properties; un informe del PSOE de Villaescusa cita la pagina 'XDC Properties - 12 Data Centers'",0,"Las 12 fichas de Santander son con toda probabilidad los 12 modulos proyectados del campus Altamira (un solo proyecto sin obra), no doce instalaciones; no verificado. El indice dcm_indice.csv no cubre Santander. El CPD de Banco Santander en Solares aparece en otros directorios (datacenters.com) como 'Cantabria Data Center'"
Cantabria,"Direccion General de Industria, Energia y Minas de Cantabria - portal de informacion publica",https://dgicc.cantabria.es/informacion-publica,curl de las 23 paginas del asset publisher de informacion publica y 2 de resoluciones; grep por terminos,centro de datos; centros de datos; data center; CPD; Altamira; XDC; proceso de datos; Santander Global; Banco Santander; Pielagos; Villaescusa; Penagos,0 coincidencias en las 25 paginas,1,Portal Liferay; los listados solo muestran expedientes recientes en tramite; los anuncios de Banco Santander (2023) ya no figuran
Cantabria,Direccion General de Medio Ambiente de Cantabria - evaluaciones de impacto ambiental y AAI,https://www.cantabria.es/web/control-ambiental/evaluaciones-impacto-ambiental,WebFetch,Altamira; centro de datos; CPD; Pielagos; Villaescusa; XDC; Banco Santander,0 en la pagina; los listados de declaraciones e informes no se cargan sin navegador,1,"Las DIA e informes de impacto ambiental se publican en el BOC, ya cubierto por el buscador (ninguno de CPD; los de Pielagos 2025-2026 son de la subestacion Llano de la Pasiega 220/55/12 kV, la linea 220 kV Cacicedo-Puente San Miguel de Red Electrica y baterias en El Astillero)"
Cantabria,Gobierno de Cantabria - comunicados (cantabria.es) y SODERCAN,https://www.cantabria.es/web/comunicados,WebFetch y curl -k (SODERCAN falla la verificacion del certificado en WebFetch); copias guardadas en datos/crudos/boletines/CB/NP-*.html,Altamira; Proyecto Empresarial Estrategico; centro de datos; Iberia Data Center; Google cable Sol; PCTCAN,"5 notas utilizadas: 25-02-2025 (presentacion Altamira: 500 MW, 3.600 M EUR, 637.000 m2, SE Penagos), 04-06-2025 (comparecencia parlamentaria, venta de suelo 9.492.450 EUR), 11-07-2025 (publicacion en BOC y formalizacion de la compra; Tavira 424 / XDC North Coast), 21-11-2023 (Iberia Data Center), 07-05-2026 (Google, parcela 5.907,72 m2)",1,"Cantabria tiene un unico proyecto de escala (campus Altamira, XDC Properties/Stoneshield, 500 MW y 3.600 M EUR anunciados) y su unico rastro administrativo es la declaracion de Proyecto Empresarial Estrategico en el BOC de 11-07-2025 (CVE-2025-6137), que no aprueba nada ni cita MW ni euros. El PSIR de la fase 1 no se ha publicado, la conexion a la red depende de dos posiciones en la SE Penagos 220 kV que no estan en la planificacion 2026-2030, y en mayo de 2026 el Parlamento reclamo la documentacion del proyecto, que la prensa da por paralizado. En el BOC y en el BOE no existe ningun expediente electrico (subestacion, linea o acometida) vinculado a un centro de datos en 2019-2026; los 50 anuncios energeticos del Gobierno de Cantabria en el BOE son lineas de distribucion de Viesgo. Los unicos expedientes oficiales con centro de datos en el texto son tres: la licencia de actividad de un CPD de Telxius Cable Espana en Santander (2023, sin datos tecnicos), y la planta fotovoltaica de autoconsumo de 3 MW del CPD de Banco Santander en Solares (informacion publica y autorizacion, 2023, con presupuesto de 2,95 M EUR). El parque existente (CPD de Banco Santander de 2011, unos 240 M EUR de obra segun prensa de entonces) es anterior a la ventana y no aparece; el pequeno Iberia Data Center del PCTCAN (2.000 m2, 12 M EUR, Sodercan al 17 %) solo tiene nota de prensa institucional y no se ha podido confirmar su apertura. La parcela vendida a Google en el PCTCAN (mayo-2026) es una estacion de amarre del cable Sol, no un CPD de computo. Las doce fichas de Santander en Data Center Map corresponden con toda probabilidad a los doce modulos proyectados de Altamira (fichas 'Proyecto Altamira 1', 'DC3', 'DC4', 'DC7' de XDC Properties), es decir, a un solo proyecto sin obra, y no a doce instalaciones; conviene capturarlas por navegador para confirmarlo. Para el cruce con el listado de Red Electrica, el nudo a vigilar es Penagos 220 kV (solicitud de 100 MW en 2028 y 500 MW en 2030 segun el Gobierno). Convenios respetados: celdas vacias donde no hay dato; MW e inversion de Altamira proceden de notas de prensa y del promotor y la fila se marca OFICIAL-PRENSA; el precio del suelo (9,49 M EUR) no se ha imputado como inversion. Limitaciones del barrido: la cuota de WebSearch se agoto pronto; GEVAMUR y los listados ambientales no responden a curl; DCD, Europa Press y Democrata bloquean el acceso automatico. Ficheros originales en datos/crudos/boletines/CB/ (6 PDF del BOC y 5 notas oficiales en HTML)."
Cantabria,"Prensa y otras fuentes: eldiario.es, Cantabria Economica, ifomo, Periodico Filtracion, Cantabria Directa, El Faradio, informe del PSOE de Villaescusa, Sener/Quark, DCD, Europa Press, Democrata",https://www.eldiario.es/cantabria/ultimas-noticias/centro-datos-altamira-macroproyecto-millonario-huerfano-primordial-electricidad_1_12663032.html,"WebSearch (hasta agotar cuota), WebFetch y curl; DCD, Europa Press y Democrata devolvieron 403/bloqueo",Altamira PSIR; Stoneshield XDC; Penagos 220 kV; Banco Santander Solares; Iberia Data Center CIGSA; Google Sol PCTCAN; Telxius,"Estado de Altamira: PSIR previsto dic-2025 no aprobado; MITECO rechazo incluir dos posiciones en Penagos en la planificacion 2026-2030 (nov-2025); Parlamento exige documentacion (04-05-2026); el consejero afirma que 'solo' falta la autorizacion estatal de conexion (07-05-2026). Iberia Data Center: 3 MW con Viesgo, Tier III, 400 racks (ene-2024), apertura no confirmada",1,"Ningun proyecto adicional de centro de datos en Cantabria (Torrelavega, Reinosa, Castro Urdiales, Camargo, Astillero) aparece en la prensa consultada"
Cantabria,Territorio de Cantabria - lista de PSIR y evaluacion ambiental urbanistica,https://www.territoriodecantabria.es/ordenacion-del-territorio/proyectos-singulares-interes-regional-psir,WebFetch,Altamira; VIPAR; centro de datos; Pielagos; Villaescusa; PCTCAN,11 PSIR aprobados y 3 en tramitacion listados; ninguno de Altamira ni del Parque Empresarial VIPAR,1,"La aplicacion GEVAMUR de consulta de expedientes (aplicacionesweb.cantabria.es/gevamur/publico/documentos/ver) devuelve respuesta vacia a las consultas POST con curl para Pielagos, Villaescusa, Medio Cudeyo y Penagos; requiere navegador"
Cantabria,WebSearch site:boc.cantabria.es,https://boc.cantabria.es,WebSearch con filtro de dominio,"""centro de datos""; ""centro de proceso de datos"" OR ""centro de procesamiento de datos""; ""XDC Properties"" OR ""Stoneshield""","7 + 6 + 8 enlaces; ninguno era un expediente de CPD (curriculos de FP, contratos de suministro del CPD del Gobierno); los resultados de XDC/Stoneshield remitian a prensa sobre la publicacion en BOC de la declaracion de Altamira",1,El presupuesto de WebSearch de la sesion (200 consultas) se agoto tras unas 20 consultas propias; el resto del barrido se hizo con curl y WebFetch
Cantabria,WebSearch site:boe.es,https://www.boe.es,WebSearch con filtro de dominio,"""centro de datos"" Cantabria anuncio instalacion electrica","10 enlaces; solo licitaciones TED del CPD interno del Gobierno de Cantabria (ampliacion de infraestructura tecnica, switches); ningun expediente energetico",1,"Cantabria tiene un unico proyecto de escala (campus Altamira, XDC Properties/Stoneshield, 500 MW y 3.600 M EUR anunciados) y su unico rastro administrativo es la declaracion de Proyecto Empresarial Estrategico en el BOC de 11-07-2025 (CVE-2025-6137), que no aprueba nada ni cita MW ni euros. El PSIR de la fase 1 no se ha publicado, la conexion a la red depende de dos posiciones en la SE Penagos 220 kV que no estan en la planificacion 2026-2030, y en mayo de 2026 el Parlamento reclamo la documentacion del proyecto, que la prensa da por paralizado. En el BOC y en el BOE no existe ningun expediente electrico (subestacion, linea o acometida) vinculado a un centro de datos en 2019-2026; los 50 anuncios energeticos del Gobierno de Cantabria en el BOE son lineas de distribucion de Viesgo. Los unicos expedientes oficiales con centro de datos en el texto son tres: la licencia de actividad de un CPD de Telxius Cable Espana en Santander (2023, sin datos tecnicos), y la planta fotovoltaica de autoconsumo de 3 MW del CPD de Banco Santander en Solares (informacion publica y autorizacion, 2023, con presupuesto de 2,95 M EUR). El parque existente (CPD de Banco Santander de 2011, unos 240 M EUR de obra segun prensa de entonces) es anterior a la ventana y no aparece; el pequeno Iberia Data Center del PCTCAN (2.000 m2, 12 M EUR, Sodercan al 17 %) solo tiene nota de prensa institucional y no se ha podido confirmar su apertura. La parcela vendida a Google en el PCTCAN (mayo-2026) es una estacion de amarre del cable Sol, no un CPD de computo. Las doce fichas de Santander en Data Center Map corresponden con toda probabilidad a los doce modulos proyectados de Altamira (fichas 'Proyecto Altamira 1', 'DC3', 'DC4', 'DC7' de XDC Properties), es decir, a un solo proyecto sin obra, y no a doce instalaciones; conviene capturarlas por navegador para confirmarlo. Para el cruce con el listado de Red Electrica, el nudo a vigilar es Penagos 220 kV (solicitud de 100 MW en 2028 y 500 MW en 2030 segun el Gobierno). Convenios respetados: celdas vacias donde no hay dato; MW e inversion de Altamira proceden de notas de prensa y del promotor y la fila se marca OFICIAL-PRENSA; el precio del suelo (9,49 M EUR) no se ha imputado como inversion. Limitaciones del barrido: la cuota de WebSearch se agoto pronto; GEVAMUR y los listados ambientales no responden a curl; DCD, Europa Press y Democrata bloquean el acceso automatico. Ficheros originales en datos/crudos/boletines/CB/ (6 PDF del BOC y 5 notas oficiales en HTML)."
Castilla-La Mancha,Ayuntamiento de Guadalajara (guadalajara.es),https://www.guadalajara.es/es/noticia/nostrum-data-centers-creara-en-guadalajara-un-nuevo-centro-de-datos-de-40-mwe-que-reforzara-la-posicion-de-la-ciudad-como-nodo-digital-estrategic.html,curl y WebFetch,Nostrum GUA1,0 (ECONNREFUSED / HTTP 000); texto verificado en la copia de La Cerca de 25-02-2026,0,"1) Cobertura: 24 filas (17 OFICIAL, 3 OFICIAL-PRENSA, 4 OFICIAL-NP, 2 PRENSA) que documentan 11 proyectos; 7 de ellos tienen expediente oficial. Meta (Talavera) queda completamente reconstruido contra el DOCM con 11 tramites entre marzo de 2022 y agosto de 2026 (DIR, aprobacion inicial, IAE, DIA, vias pecuarias, aprobacion definitiva, NNUU en BOP, reparcelacion, expropiacion de las conexiones electricas) mas la linea de Red Electrica en la SE Calera y Chozas 220 kV que es su nudo. CM-01 se corrige (promotor Zarza Networks, S.L., CIF B16752750; fechas) y CM-02 se fecha (25-02-2026) y se enlaza con su expediente ambiental. 2) Hallazgo metodologico: el portal ambiental Nevia (nevia.castillalamancha.es) es la mejor fuente de la comunidad: expedientes estructurados con promotor, municipio, fase y los documentos del proyecto; ahi aparecen cuatro proyectos de 2025-2026 que aun no estan en el DOCM (Solaria Puertollano 40 MW/30 MW IT; Malpica 300 MW IT en Mora; Vianos 300 MW IT en Albacete, sin rastro alguno en prensa; y el primer expediente de Guadalajara Data Center). Conviene anadirlo a la seccion 11 de CLAUDE.md. 3) Euros: unico caso con presupuesto de proyecto en documento oficial es Guadalajara Data Center (presupuesto de ejecucion por contrata 223,18 M EUR para 40 MW / 26,3 MW IT, es decir unos 8,5 M EUR por MW IT, y base imponible ICIO 35,6 M EUR), que se acerca a los 10,2 M EUR/MW del coste unitario de referencia. Los demas euros son prensa. 4) MW: no sumar. Meta no declara MW (240 MVA de demanda maxima); Guadalajara y Puertollano declaran electrica e IT; Malpica y Vianos declaran solo IT (300 MW) con generacion propia a gas y sin conexion a la red, lo que los deja fuera del listado de Red Electrica; Fortinet 7 MW sin base. 5) El BOE no tiene ningun anuncio nominativo de centro de datos en CLM; la conexion de Meta se resuelve a 220 kV (competencia estatal por ser red de transporte, pero el anuncio no nombra al consumidor). 6) Vias muertas: buscador del DOCM (HTTP 500), buscador de castillalamancha.es (no indexa notas relevantes), guadalajara.es (caido), iberdrola.com y globenewswire (bloqueados), WebSearch agotado a mitad de sesion. 7) Dos entradas del DOCM (NID 2024/10065 y 2025/210) llevan por error el titulo 'aprueba definitivamente el PSI Meta Data Center Campus' pero su contenido es la ampliacion de plazo del PSI CIRN de Albacete: no usarlas. 8) Pendientes: descargar los anexos del EsIA de Axis East desde la sede de Torija (requiere navegador), localizar la autorizacion de la SE Calera y Chozas 220 kV, seguir los expedientes Nevia S478/2026/DG/00170, 00171 y 00113 hasta su anuncio de informacion publica en el DOCM, y comprobar en el listado de Red Electrica las solicitudes de acceso en los nudos Calera y Chozas 220 kV y Guadalajara 132 kV."
